ユーザーID,非共有,FCFS（先着順）,所有者優先,プリエンプション
ユーザー0,830915.02秒,313.92秒,205.87秒,229.58秒
ユーザー1,224255.02秒,349.85秒,191.04秒,241.13秒
ユーザー2,66955.44秒,320.97秒,204.44秒,237.96秒
ユーザー3,588.25秒,379.65秒,227.75秒,190.01秒
ユーザー4,298.78秒,496.50秒,268.83秒,170.75秒
ユーザー5,281.88秒,337.51秒,198.35秒,146.24秒
ユーザー6,77.50秒,355.93秒,179.51秒,78.59秒
ユーザー7,58.13秒,435.03秒,147.09秒,57.75秒
ユーザー8,39.81秒,383.42秒,156.29秒,40.48秒
ユーザー9,1450532.95秒,482.95秒,378.67秒,341.71秒
ユーザー10,490566.17秒,501.43秒,371.08秒,359.76秒
ユーザー11,201420.79秒,577.96秒,465.93秒,357.99秒
ユーザー12,30590.88秒,533.47秒,310.65秒,323.88秒
ユーザー13,11809.89秒,460.33秒,317.55秒,302.85秒
ユーザー14,4053.20秒,461.21秒,288.69秒,266.01秒
ユーザー15,243.33秒,644.19秒,299.57秒,190.84秒
ユーザー16,165.97秒,723.15秒,236.36秒,167.55秒
ユーザー17,117.13秒,418.16秒,231.43秒,113.86秒
